,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
0,sell,short,149.646,2023-10-18 07:00:00,149.70107142857142,149.55421428571427,,,
1,stop_loss,short,149.646,2023-10-18 10:15:00,149.70107142857142,149.55421428571427,149.712,-1.0,2023-10-18 10:20:00
2,buy,long,149.739,2023-10-18 11:40:00,149.70514285714287,149.79542857142857,,,
3,stop_loss,long,149.739,2023-10-18 11:55:00,149.74085714285715,149.79542857142857,149.72,-1.0,2023-10-18 12:00:00
4,buy,long,149.763,2023-10-18 12:20:00,149.71092857142858,149.84978571428573,,,
5,stop_loss,long,149.763,2023-10-18 13:30:00,149.71092857142858,149.84978571428573,149.681,-1.0,2023-10-18 13:35:00
6,sell,short,149.744,2023-10-19 04:15:00,149.80957142857142,149.6347142857143,,,
7,stop_loss,short,149.744,2023-10-19 05:15:00,149.80957142857142,149.6347142857143,149.813,-1.0,2023-10-19 05:20:00
8,sell,short,149.803,2023-10-19 14:20:00,149.83867857142857,149.7435357142857,,,
9,stop_loss,short,149.803,2023-10-19 14:45:00,149.83867857142857,149.7435357142857,149.848,-1.0,2023-10-19 14:50:00
10,sell,short,149.76,2023-10-19 19:10:00,149.84367857142857,149.6205357142857,,,
11,stop_loss,short,149.76,2023-10-19 19:15:00,149.7567857142857,149.6205357142857,149.809,-1.0,2023-10-19 19:20:00
12,sell,short,149.864,2023-10-19 19:35:00,149.98260714285715,149.66632142857142,,,
13,buy,long,149.876,2023-10-19 19:40:00,149.7497857142857,150.08635714285717,,,
14,stop_loss,long,149.876,2023-10-19 19:40:00,149.7497857142857,150.08635714285717,149.747,-1.0,2023-10-19 19:45:00
15,sell,short,149.728,2023-10-19 20:05:00,149.87007142857144,149.49121428571428,,,
16,stop_loss,short,149.728,2023-10-20 03:55:00,149.87007142857144,149.49121428571428,149.896,-1.0,2023-10-20 04:00:00
17,buy,long,149.935,2023-10-25 19:35:00,149.9114285714286,149.9742857142857,,,
18,take_profit,long,149.935,2023-10-25 19:50:00,149.94321428571428,149.9742857142857,149.975,1.5,2023-10-25 19:55:00
19,sell,short,150.424,2023-10-26 10:00:00,150.61964285714288,150.09792857142858,,,
20,stop_loss,short,150.424,2023-10-26 12:35:00,150.30935714285712,150.09792857142858,150.314,-1.0,2023-10-26 12:40:00
21,sell,short,150.145,2023-10-27 10:25:00,150.2189285714286,150.02178571428573,,,
22,stop_loss,short,150.145,2023-10-27 11:20:00,150.1092142857143,150.02178571428573,150.115,-1.0,2023-10-27 11:25:00
23,sell,short,149.047,2023-10-30 23:30:00,149.0805357142857,148.99110714285715,,,
24,stop_loss,short,149.047,2023-10-31 00:10:00,149.0805357142857,148.99110714285715,149.095,-1.0,2023-10-31 00:15:00
25,sell,short,150.602,2023-11-02 01:35:00,150.6715357142857,150.48610714285715,,,
26,take_profit,short,150.602,2023-11-02 02:05:00,150.55685714285715,150.48610714285715,150.423,1.5,2023-11-02 02:10:00
27,sell,short,150.231,2023-11-02 14:10:00,150.29582142857143,150.12296428571426,,,
28,take_profit,short,150.231,2023-11-02 14:25:00,150.18285714285713,150.12296428571426,150.074,1.5,2023-11-02 14:30:00
29,buy,long,150.411,2023-11-02 19:20:00,150.3489642857143,150.51439285714284,,,
30,stop_loss,long,150.411,2023-11-02 20:30:00,150.43992857142857,150.51439285714284,150.408,-1.0,2023-11-02 20:35:00
31,buy,long,150.042,2023-11-06 23:40:00,150.0200357142857,150.07860714285712,,,
32,stop_loss,long,150.042,2023-11-06 23:50:00,150.0200357142857,150.07860714285712,150.013,-1.0,2023-11-06 23:55:00
33,sell,short,150.606,2023-11-08 10:05:00,150.66932142857144,150.5004642857143,,,
34,stop_loss,short,150.606,2023-11-08 10:05:00,150.66932142857144,150.5004642857143,150.677,-1.0,2023-11-08 10:10:00
35,buy,long,150.923,2023-11-09 06:05:00,150.8909642857143,150.97639285714286,,,
36,take_profit,long,150.923,2023-11-09 07:40:00,150.95378571428571,150.97639285714286,150.985,1.5,2023-11-09 07:45:00
37,sell,short,151.504,2023-11-10 23:50:00,151.52992857142857,151.4607857142857,,,
38,take_profit,short,151.504,2023-11-10 23:50:00,151.52992857142857,151.4607857142857,151.42,1.5,2023-11-10 23:55:00
39,sell,short,151.635,2023-11-13 18:00:00,151.84671428571428,151.28214285714284,,,
40,stop_loss,short,151.635,2023-11-13 19:00:00,151.5722142857143,151.28214285714284,151.579,-1.0,2023-11-13 19:05:00
41,sell,short,151.686,2023-11-14 07:10:00,151.71096428571428,151.64439285714286,,,
42,stop_loss,short,151.686,2023-11-14 07:25:00,151.71096428571428,151.64439285714286,151.718,-1.0,2023-11-14 07:30:00
43,sell,short,150.813,2023-11-14 17:50:00,150.94885714285715,150.5865714285714,,,
44,stop_loss,short,150.813,2023-11-14 18:10:00,150.80692857142859,150.5865714285714,150.811,-1.0,2023-11-14 18:15:00
45,buy,long,150.582,2023-11-15 03:20:00,150.46264285714284,150.78092857142857,,,
